city_name,title,address,latitude,longitude,comment
Bourges,Lotus d'Asie,"105 Av. du Général Charles de Gaulle, 18000 Bourges, France",47.100346,2.407024,"Épicerie Asiatique et Exotique 
Horaires temporaires 
Lundi au jeudi : 14h à 17h
Vendredi et samedi : 10h à 12h et 14h à 17h
Dimanche : fermé 
Mail : lotusdasie@live.fr
Tél : 06 50 56 80 11"
Bourges,Le Field,"91 Rue d'Auron, 18000 Bourges, France",47.08034,2.3914618,"Bureau de tabac - ouvert de 8hà 18h du lundi au vendredi
le samedi de 8hà 16h"
Bourges,Le bistro le bergerac,"1 Rue Jean-Jacques Rousseau, 18000 Bourges, France",47.07905,2.3897681,"Tabac 
ouvert de 8h00/13h00 et 16h00/20h00
Proposition de plateaux à emporter : 
 entrée, plats, dessert . ( couverts, pain ) 
Nos plats seront chaud 
Prix : 13€50/ par pers 
Livraison  gratuite possible quartier : auron , Barbès,Rousseau , 
Commande à partir de 10h00 livraison pour le déjeuner 
                     à partir de 17h00 livraison pour le dîner 
Des menus seront élaborés au jour le jour.
Contact : 

David 
06.98.83.09.06
E-mail : davidbonnet72@hotmail.com
Mise en place dès lundi 30 mars 2020

                    
                     


"
Bourges,Boucherie Chevaline,"132 Rue Edouard Vaillant, 18000 Bourges, France",47.089676,2.4011858,Ouverture du mardi au samedi 8h à 12h30 .possibilité de livré 
Bourges,PHARMACY CHER,"23 Rue du Commerce, 18000 Bourges, France",47.085617,2.3934162,horaires à confirmer
Bourges,La Mie Câline,"11 Rue Moyenne, 18000 Bourges, France",47.08441,2.3954074,ouvert de 7h30 à 14h
Bourges,E.Leclerc Bourges,"Le Nouveau, Le Prado, 18000 Bourges, France",47.08236,2.3874376,
Bourges,Monoprix,"8 Avenue de Peterborough, 18000 Bourges, France",47.087494,2.3960896,
Bourges,Biocoop Au Bourgeon Vert,"121 Boulevard de l'Avenir, 18000 Bourges, France",47.076553,2.3841076,"horaires :  tous les jours, 9h30 - 18h30 "
Bourges,Bourges,"18000 Bourges, France",47.081013,2.398782,"Coronavirus // Les établissements ouverts à Bourges.
Pour vous soutenir et vous accompagner pendant la période de confinement, je vous propose une carte des établissements ouverts (commerces alimentaires, pharmacies, stations-service…).
L'outil est collaboratif : je compte sur vous pour ajouter vos infos afin d’avoir une carte la plus complète possible.
Si un lieux ouvert n’apparaît pas sur cette carte, cliquer sur le bouton ""Proposer un endroit à ajouter"", en précisant : 
• le nom de votre commerce
• les horaires d’ouverture (ou de livraison)
• le téléphone de votre enseigne
Et surtout, n'oubliez pas #SAUVEZDESVIES #RESTEZCHEZVOUS"
