city_name,title,address,latitude,longitude,comment
Saint-Marcellin,Le pain de Martin,"465 ROUTE DE PONT EN ROYANS, 38680 Saint-André-en-Royans, France",45.084423,5.338185,"Pains et autres gourmandise à commandez le jeudi pour un retrait le vendredi au fournil ou une livraison le samedi matin sur Saint Marcellin (Chatte, Saint Sauveur). "
Saint-Marcellin,La ferme du palmier,"1745 Chemin Des Ports, 38160 Chatte, France",45.14919,5.257881,"Vente de produits laitiers de chèvre.
Vente à la ferme le jeudi de 15h à 18h30. 
Possibilité de livraison ou de retrait à la demande. "
Saint-Marcellin,Le Pain de Beauvoir,"18 Rue porte d'aris, 38160 Beauvoir-en-Royans, France",45.121017,5.3374696,"Au fournil :
le mercredi et le vendredi de 17h à 19h.

Sur les marchés (annulés jusqu'à nouvel ordre) :
Saint-Marcellin le samedi matin 
Fontaine (place Louis Maisonnat) le mercredi de 15h à 19h

En magasin :
Biocoop de Chatte (ZC La Gloriette) – livraison le lundi, mercredi et vendredi vers 15h30.
Biocoop de Saint-Marcellin (centre ville) – livraison le lundi, mercredi et vendredi vers 16h00.
Épicerie Graines d’épicières à Tullins (2 Avenue Pierre Bérégovoy) – livraison le lundi à l’ouverture du magasin.
Biocoop de Saint-Jean en Royans (Zone d’activité de la Roue Est) – livraison le mercredi et le vendredi vers 16h30."
Saint-Marcellin,Post Office,"3 Boulevard Gambetta, 38160 Saint-Marcellin, France",45.152973,5.3221498,"Horaire et disposition pour envoyer du courrier en recommander
"
Saint-Marcellin,Les Carmes,"3 Place des Carmes, 38160 Saint-Marcellin, France",45.152702,5.3205094,Du mardi au samedi : 9h00 à 13h00 et de 15h00 à 19h00
Saint-Marcellin,The farmer Palace,"950 A ZI la Gloriette, 38160 Chatte, France",45.141098,5.3025713,"Au Palais Fermier
Commandes au 09 64 47 38 44
Horaires de retrait :
- A partir de 16h pour toute commande passée avant midi
- A partir de 11h pour toute commande passée la veille avant 18h"
Saint-Marcellin,Les Truites d'Izeron / Pisciculture Murgat,"435 Chemin de la pisciculture, 38160 Izeron, France",45.157124,5.3675995,07 87 40 53 96
Saint-Marcellin,La Ferme de Rossat,"915 chemin du Haut, 38160 Saint-Vérand, France",45.17228,5.360794,04 76 64 15 02
Saint-Marcellin,La halle fermière,"20 Avenue de la Gare, 38470 Vinay, France",45.207954,5.410751,"Horaires habituels
Tel : 04 76 36 68 49"
Saint-Marcellin,Maison Brialon,"9 Avenue de Romans, 38160 Saint-Marcellin, France",45.145714,5.310095,du lundi au samedi de 6h à 19h15 sans interruption
Saint-Marcellin,Vincent Christophe,"46 Grande Rue, 38160 Saint-Marcellin, France",45.15295,5.320271,"Livraison à domicile offerte dans un rayon de 10km, la boutique étant fermée pour une durée indéterminée.
Liste des propositions sur le site internet et réseaux sociaux.
Commande par téléphone au 06.45.69.15.23 :
- Lundi et mercredi de 17h à 19h
- Mardi et jeudi avant 9h"
Saint-Marcellin,Pharmacie Centrale Michel Girond,"7 Rue du Château Bayard, 38160 Saint-Marcellin, France",45.154182,5.323348,Lundi au Samedi : 8h30-12h et 14h-19h
Saint-Marcellin,Pharmacie de Saint Marcellin - Raynal,"2 Place Jean Vinay, 38160 Saint-Marcellin, France",45.153976,5.3212967,"Lundi au Vendredi : 8h30-12h15 et 14h-19h
Samedi :  8h30-12h15 et 14h-18h"
Saint-Marcellin,Pharmacie du Kiosque,"7 Place d'Armes, 38160 Saint-Marcellin, France",45.153625,5.3208637,Lundi au Samedi : 8h30-12h et 14h-19h
Saint-Marcellin,Boulangerie du Faubourg,"36 Rue du Faubourg Vinay, 38160 Saint-Marcellin, France",45.15487,5.323279,Mardi au Dimanche : 6h-12h30 et 15h30-19h
Saint-Marcellin,Le Cubanito,"33 Grande Rue, 38160 Saint-Marcellin, France",45.153637,5.321532,Du Lundi au Samedi : 7h-12h30
Saint-Marcellin,Le Duo Gourmand,"9 Rue Jean Baillet, 38160 Saint-Marcellin, France",45.1548,5.3215427,"Lundi/Mardi/Jeudi/Vendredi : 6h15-13h et 16h-19h30
Mercredi : 6h15-13h
Samedi et Dimanche : 6h15-13h
"
Saint-Marcellin,Cancade Michel Jean Gabriel,"3 Rue de Beauvoir, 38160 Saint-Marcellin, France",45.15403,5.322369,"Mardi/Jeudi/Samedi : 6h-12h30
Mercredi/ Vendredi :  6h - 19h15
Dimanche : 6h30-12h30"
Saint-Marcellin,La Boutique des Simples,"27 Grande Rue, 38160 Saint-Marcellin, France",45.153885,5.321616,"Mardi au Samedi : 9h-12h30 
Sur RDV l'après-midi si besoin urgent 
0685580995 ou 0476642665"
Saint-Marcellin,Pharmacie Des Cèdres (Crozet),"2 Avenue de Provence, 38160 Saint-Marcellin, France",45.151512,5.3170595,"Lundi au Vendredi : 8h30-12h30 et 14h-19h30 
Samedi : 8h30-12h30 et 14h-19h"
Saint-Marcellin,Mag Presse,"63 Grande Rue, 38160 Saint-Marcellin, France",45.152687,5.320154,"Ghersinu le Jaurès 
En semaine 7h-19h
Le dimanche 7h-12h30"
Saint-Marcellin,Supermarché Colruyt,"16 Cours Vallier, 38160 Saint-Marcellin, France",45.153244,5.317053,Du lundi au samedi : 9H00-19H. Fermé le dimanche.
Saint-Marcellin,Mairie,"21 Place d'Armes, 38160 Saint-Marcellin, France",45.154133,5.3200116,"Accueil téléphonique : 04 76 38 41 61 / contact.ville@saint-marcellin.fr
Des rendez-vous pourront être donnés suivant les urgences"
Saint-Marcellin,Lidl,"Avenue de Romans, 38160 Saint-Marcellin, France",45.14846,5.3125386,Lundi au samedi : 8h30 - 19h30
Saint-Marcellin,Boulangerie Lebreton,"15 Place d'Armes, 38160 Saint-Marcellin, France",45.15374,5.319887,Tous les jours de 6h à 13h30 et de 17h à 19h
Saint-Marcellin,Biocoop Saint-Marcellin,"Avenue du Collège, 38160 Saint-Marcellin, France",45.154263,5.3196716,Lundi 15h-19h / du mardi au samedi : 8h30 - 19h
Saint-Marcellin,bievre viande,"2 Avenue de Chatte, 38160 Saint-Marcellin, France",45.14987,5.3104606,"Mardi au samedi : 
08:00–12:30
15:00–19:00"
Saint-Marcellin,Leclerc - Chatte / Saint-Marcellin,"Chemin des Gameux, 38160 Chatte, France",45.1442,5.305501,"Du lundi au samedi de 9h à 18h30
Dimanche de 9h à 12h
Drive en fonctionnement"
Saint-Marcellin,Le Jardin de Beauvoir,"17 Grande Rue, 38160 Saint-Marcellin, France",45.154243,5.322135,8 h - 12 h du mardi au dimanche
Saint-Marcellin,VillaVerde Saint-Marcellin,"5 Rue de la Camponnière, 38160 Saint-Marcellin, France",45.1465,5.307703, Le magasin reste ouvert pour les rayons alimentation et alimentation animale à fin de répondre aux besoins essentiels de 9h00-12h00 du lundi au samedi ( fermé le dimanche)
Saint-Marcellin,Provenc'halle,"Avenue de Romans, 38160 Saint-Marcellin, France",45.145348,5.309373,"09h00 à 12h30 - 14h30 à 18h00
Samedi : de 9h00 à 18h00"
Saint-Marcellin,Vival,"36 Grande Rue, 38160 Saint-Marcellin, France",45.153484,5.3209534,Tous les jours : 7h30 - 21h
Saint-Marcellin,Saint-Marcellin,"38160 Saint-Marcellin, France",45.154118,5.3199377,
Saint-Marcellin,GAEC Les Jardins de Chérennes,"500 Route d'Izeron, 38160 Saint-Pierre-de-Chérennes, France",45.125896,5.3658957,Vente à la ferme le mercredi de 16h30 à 19h
