city_name,title,address,latitude,longitude,comment
Valence,Spidzza Grand'Mère,"119 Avenue de Romans, 26000 Valence, France",44.93427,4.9050717,
Valence,Taklope Store Valence,"6 Avenue Victor Hugo, 26000 Valence, France",44.929955,4.8908997,"Horaires à jour en temps réel sur Google. 
Pour tout renseignement : 0986349988
Ou valence@taklope.com"
Valence,BOUTIQUE LAURENT,"30 Rue Emile Augier, 26000 Valence, France",44.931072,4.8914523,"Nouveaux horaires : 9h-13h du mardi au samedi
Livraisons possibles
Commandes et conseils : 04 75 43 65 73 et boutique.laurent@orange.fr"
Valence,15 Avenue Pierre Semard,"15 Avenue Pierre Semard, 26000 Valence, France",44.92857,4.8917465,"tabac,vape,fdj,presse l'oriental"
Valence,LE PARKER,"29 Avenue Félix Faure, 26000 Valence, France",44.931236,4.895338,
Valence,Caisse d'Epargne Chateauvert,"124 Rue Châteauvert, 26000 Valence, France",44.919888,4.8991094,"Attention l'agence est ouvert au public le matin seulement.
Fermeture tous les jours à 16h30  "
Valence,Lounge and Vap,"62 Avenue Victor Hugo, 26000 Valence, France",44.92784,4.889679,"Cigarettes électroniques et e-liquides
Permanences: 
mardi / jeudi / samedi -> de 14h à 18h"
Valence,Poissonnerie Fereyre,"11 Rue de l'Université, 26000 Valence, France",44.931633,4.891228,
Valence,Fromages _ et Terroirs Valence,"206 Avenue Victor Hugo, 26000 Valence, France",44.920334,4.885746,"Fromagerie crèmerie, glaces Terre Adélice, épicerie diverse, confitures, miels, vins, jus de fruits etc....
Horaires : du mardi au dimanche matin. Ouvert le matin et l'après-midi. Privilégier l'après midi car moins d'affluence. 
Téléphone : 04 75 42 31 61.
Le terminal de paiement et le meuble  de caisse sont nettoyés à l'alcool ménager après chaque client. Nettoyage des mains avant de servir chaque client. "
Valence,Clarabio,"52 Rue du Vivarais, 26320 Saint-Marcel-lès-Valence, France",44.96361,4.9444003,
Valence,Monop'Station,"18 Rue Denis Papin, 26000 Valence, France",44.92803,4.893295,Magasin fermé pour virus 
Valence,Comme Trois Pommes,"335 Chemin de l'Olagnier, 26800 Portes-lès-Valence, France",44.88218,4.891686,Épicerie
Valence,Géant Casino,"2 Avenue de Romans, 26000 Valence, France",44.942223,4.9202776,"Ouverture 8h
Fermeture 20h30
Hypermarché d'alimentation "
Valence,Pâtisserie ChocolaterieTraiteur Paris Friand Valence - Domaine des Seigneurs COLOMB Frédéric,"7 Avenue Pierre Semard, 26000 Valence, France",44.928677,4.891197,"Horaires :
Ouvert du Mardi au Samedi de 8h00 à 18h45 et le Dimanche de 8h00 à 17h00
Téléphone : 04 75 44 06 76"
Valence,Casino shop,"21 Rue Madier de Montjau, 26000 Valence, France",44.933285,4.892648,"Horaires exceptionnels: 
Lundi au Samedi de 7h30 à 20h00
Dimanche de 9h00 à 20h00
"
Valence,TABAC Presse loto,"48 Avenue Sadi Carnot, 26000 Valence, France",44.93544,4.8970037,"tel 0475409504
du lundi au samedi : 7h-18h
dimanche : 7h-12h"
Valence,Le Sun Bay Tabac Presse Loto café bar,"26000 Valence, France",44.89935,4.8879323,7h - 13h
Valence,CHICKENS RUN,"47 Rue Faventines, 26000 Valence, France",44.92985,4.8979306,
Valence,Agence Dumond,"Zone Industriel des Auréats, 81 Bis Rue des Mourettes, 26000 Valence, France",44.893627,4.890048,"Permanence de 9h00 à 16h00 pour les urgences.
Evitons les déplacements pour un entretien. Prenez soin de vous et votre famille😷😷
04 75 44 41 95"
Valence,Géant Casino,"Avenue de Provence Quartier, Rue de Chantecouriol, 26000 Valence, France",44.907635,4.8783174,"Ouvert 7 jours sur 7
Du lundi à samedi de 8h à  20h30
Le dimanche de 9h à 21h"
Valence,Intermarché Super VALENCE,"362 Rue Faventines, 26000 Valence, France",44.9122,4.9130363,
Valence,L'Objectiforme,"1 Rue des Repenties, 26000 Valence, France",44.93098,4.8882885,"Ouvert de 8h30-12h.
Attention ouvert uniquement pour les compléments alimentaires et nutrition sportive"
Valence,La Poste Carre Enterprises,"69 Avenue de la Marne, 26000 Valence, France",44.933647,4.897936,"ouvert aussi aux particulier
pas plus de 2 personnes dans le local "
Valence,MÉDIAPHONE DISCOUNT,"50 Rue Madier de Montjau, 26000 Valence, France",44.932774,4.893316,"Horaires exceptionnels: 
Ouverture de 14h à 18h

Possibilité de se faire livrer son telephone à domicile"
Valence,MÉDIAPHONE DISCOUNT,"116 Avenue de Provence, 26320 Saint-Marcel-lès-Valence, France",44.96696,4.9484234,"Horaires exceptionnels: 
Ouverture de 14h à 18h

Possibilité de se faire livrer son telephone à domicile"
