ref,osm_type,osm_id,lat,lon,action
26,node,4840065575,44.8300647,-0.5731941,modify
11,node,6991387578,44.831704,-0.57295,modify
9,node,6873753861,44.8755065,-0.5527475,modify
23,node,2572761660,44.8421339,-0.5800189,modify
21,node,4637441490,44.8299767,-0.5810994,modify
32,node,4459976090,44.8326186,-0.6100799,modify
27,node,6070507790,44.8519696,-0.5711739,modify
18,node,2896042501,44.840985,-0.559374,modify
34,node,2485563790,44.8324914,-0.5728165,modify
7,node,7235404285,44.853361,-0.5698483,modify
5,node,5666807698,44.7959273,-0.6027956,modify
28,node,3740119320,44.8359282,-0.5810005,modify
33,node,1879621336,44.8388637,-0.5816466,modify
29,node,6368816248,44.8373512,-0.5726483,modify
1,,,44.85166,-0.587214,create
10,,,44.817463,-0.5856647,create
12,,,44.862858,-0.5512933,create
14,,,44.840347,-0.5538529,create
15,,,44.841396,-0.558426,create
16,,,44.839508,-0.5596817,create
17,,,44.811947,-0.590437,create
19,,,44.856426,-0.5966281,create
2,,,44.843384,-0.5322471,create
20,,,44.85331,-0.5698073,create
22,,,44.82571,-0.5543548,create
24,,,44.848564,-0.5825711,create
25,,,44.8324,-0.6124398,create
3,,,44.828693,-0.5743837,create
30,,,44.838493,-0.5719535,create
31,,,44.835236,-0.5694199,create
4,,,44.853107,-0.5702138,create
6,,,44.850792,-0.5698736,create
8,,,44.721783,-0.5306933,create
