ref,osm_type,osm_id,lat,lon,action
12,node,2389571928,46.8415733,-0.4919072,modify
22,node,1832256336,46.8377496,-0.4935613,modify
23,node,3282657644,46.8434405,-0.4901202,modify
11,node,1793525731,46.8396974,-0.4915721,modify
20,node,1917603671,46.8414959,-0.4922455,modify
15,node,2357677256,46.8392289,-0.4927598,modify
8,node,1987476173,46.8379852,-0.4938132,modify
1,node,1759543448,46.8481666,-0.4992553,modify
6,way,66476580,46.8328058,-0.4816682,modify
3,way,66476160,46.8389855,-0.4840435,modify
19,way,64155989,46.8391248,-0.4931463,modify
14,way,622710727,46.8428345,-0.5114041,modify
10,,,46.868515,-0.3891251,create
13,,,46.804775,-0.5096495,create
16,,,46.839344,-0.4927628,create
17,,,46.845196,-0.505763,create
18,,,46.803467,-0.5102519,create
2,,,46.85033,-0.4953355,create
21,,,46.841156,-0.4919255,create
24,,,46.840218,-0.4923885,create
4,,,46.839184,-0.491277,create
5,,,46.840458,-0.492276,create
7,,,46.84131,-0.4921826,create
9,,,46.84406,-0.4899857,create
