ref,osm_type,osm_id,lat,lon,action
56,node,5392712532,43.5521755,7.0129888,modify
35,node,3040166078,43.5524123,7.0130843,modify
27,node,5362334175,43.5544821,7.0168393,modify
7,node,6368816251,43.557677,7.0224017,modify
23,node,6944279039,43.5527811,7.0150186,modify
29,node,6070722876,43.5550363,7.0166755,modify
16,node,3040166074,43.5520291,7.0132486,modify
51,node,1379350056,43.5530525,7.0156959,modify
1,,,43.55274,7.011925,create
10,,,43.55312,7.0237045,create
11,,,43.552696,7.0231094,create
12,,,43.55196,7.019084,create
13,,,43.553444,7.01759,create
14,,,43.555042,7.023343,create
15,,,43.55213,7.0271373,create
17,,,43.553516,7.021519,create
18,,,43.55369,7.016514,create
19,,,43.553642,7.0244117,create
2,,,43.55026,7.033619,create
20,,,43.55269,7.0280547,create
21,,,43.553127,7.022082,create
22,,,43.5527,7.01595,create
24,,,43.552685,7.0145035,create
25,,,43.56465,7.016431,create
26,,,43.55481,7.016858,create
28,,,43.55433,7.0168447,create
3,,,43.54649,7.0342445,create
30,,,43.551662,7.0117545,create
31,,,43.552162,7.0114064,create
32,,,43.552517,7.011047,create
33,,,43.552727,7.0115914,create
34,,,43.55214,7.0118136,create
36,,,43.552258,7.0113106,create
37,,,43.5518,7.0120244,create
38,,,43.552364,7.0121193,create
39,,,43.552914,7.0066924,create
4,,,43.550224,7.0339613,create
40,,,43.555134,7.0118985,create
41,,,43.550888,6.999752,create
42,,,43.550434,6.991161,create
43,,,43.54947,6.9779778,create
44,,,43.549538,6.973933,create
45,,,43.549225,6.972342,create
46,,,43.549377,6.9783397,create
47,,,43.552654,6.9769855,create
48,,,43.549908,6.9795637,create
49,,,43.55259,6.9771357,create
5,,,43.548306,7.038695,create
50,,,43.550312,7.0098033,create
52,,,43.552433,7.013931,create
53,,,43.55191,7.0114384,create
54,,,43.550934,7.0114193,create
55,,,43.55353,7.0209293,create
57,,,43.55351,7.0199537,create
6,,,43.556805,7.020596,create
8,,,43.55627,7.023326,create
9,,,43.561703,7.0212255,create
