ref,osm_type,osm_id,lat,lon,action
27,node,5343911373,44.7294888,5.0172793,modify
22,node,5649666669,44.7295061,5.0175516,modify
36,node,4646785652,44.7306245,5.0192834,modify
28,node,5649666670,44.7294813,5.0174827,modify
15,node,2411198549,44.7302386,5.0159935,modify
39,node,4646812706,44.7281007,5.0217468,modify
4,way,72549651,44.7353326,5.006725,modify
40,node,4646823396,44.7338474,5.0114841,modify
18,node,4326897148,44.7330877,5.0116347,modify
25,node,5449186292,44.7285997,5.0185267,modify
1,,,44.72665,5.0201354,create
10,,,44.73076,5.0065475,create
11,,,44.72825,5.0224223,create
12,,,44.727726,5.0214357,create
13,,,44.731045,5.0168896,create
14,,,44.72796,5.01983,create
16,,,44.72895,5.02896,create
17,,,44.738144,5.0045724,create
19,,,44.718014,4.9983974,create
2,,,44.732,5.0103765,create
20,,,44.716576,5.003735,create
21,,,44.73337,5.011628,create
23,,,44.72507,5.0216017,create
24,,,44.733288,5.011293,create
26,,,44.728912,5.018896,create
29,,,44.730354,5.0175266,create
3,,,44.72904,5.027137,create
30,,,44.729,5.0207043,create
31,,,44.728615,5.0186725,create
32,,,44.727737,5.0217094,create
33,,,44.733303,5.0113583,create
34,,,44.72846,5.023528,create
35,,,44.732098,5.004738,create
37,,,44.72498,5.0212526,create
38,,,44.72842,5.024166,create
5,,,44.724617,5.0266676,create
6,,,44.73178,5.0095882,create
7,,,44.72852,5.023442,create
8,,,44.732376,4.9972043,create
9,,,44.718662,5.011029,create
