ref,osm_type,osm_id,lat,lon,action
16,node,1852472149,44.6933272,5.4855618,modify
9,node,2257914796,44.7531449,5.3699294,modify
14,way,72738133,44.7602079,5.357083,modify
6,node,3644565869,44.75281,5.3704484,modify
7,node,2723372311,44.7534689,5.3727517,modify
10,node,2257914790,44.7530853,5.3699852,modify
1,node,2469850438,44.7521774,5.37479,modify
11,,,44.760708,5.3586903,create
12,,,44.752716,5.3708143,create
13,,,44.76121,5.353356,create
15,,,44.753727,5.3717995,create
17,,,44.7529,5.3718324,create
18,,,44.752853,5.3724613,create
19,,,44.75309,5.370201,create
2,,,44.755253,5.3693686,create
20,,,44.752575,5.3715954,create
21,,,44.75263,5.3704686,create
22,,,44.75326,5.3699355,create
3,,,44.754395,5.3711333,create
4,,,44.75368,5.372442,create
5,,,44.753,5.37028,create
8,,,44.75372,5.372603,create
