ref,osm_type,osm_id,lat,lon,action
48,node,2717259647,50.632587,3.0915283,modify
27,way,42325110,50.6259041,3.0611229,modify
46,node,5803644997,50.6317659,3.0436062,modify
10,node,6276579998,50.6377389,3.0669274,modify
53,node,6643486595,50.5735738,2.9402155,modify
41,way,40875591,50.6314679,3.0644294,modify
22,way,108796796,50.655366,3.073518,modify
43,node,5455331790,50.6305884,3.056455,modify
2,node,6835729003,50.6577787,3.0402484,modify
31,node,4424286721,50.6386594,3.061231,modify
18,node,3201800182,50.6287156,3.0525261,modify
50,node,5620643323,50.6284489,3.0519009,modify
7,way,63555828,50.611572,2.9856986,modify
36,node,5920731430,50.6660954,3.0299775,modify
5,way,125887119,50.6600475,3.013479,modify
1,,,50.281654,3.3201418,create
11,,,50.645466,3.056555,create
12,,,50.750366,3.1520216,create
13,,,50.623596,3.0429397,create
14,,,50.619987,3.068268,create
15,,,50.582314,3.110818,create
16,,,50.640106,3.058205,create
17,,,50.619545,3.050772,create
19,,,50.633427,3.0681977,create
20,,,50.638382,3.0585268,create
21,,,50.64457,3.0623972,create
23,,,50.633312,3.063156,create
24,,,50.636333,3.0689821,create
25,,,50.633167,3.0621407,create
26,,,50.661484,3.0554953,create
28,,,50.63981,3.0645936,create
29,,,50.64057,3.065641,create
3,,,50.610992,3.01971,create
30,,,50.641064,3.061567,create
32,,,50.636024,3.069528,create
33,,,50.64676,3.0576108,create
34,,,50.626637,3.049996,create
35,,,50.63941,3.058262,create
37,,,50.63691,3.0627892,create
38,,,50.640457,3.064681,create
39,,,50.632664,3.062658,create
4,,,50.638786,3.060216,create
40,,,50.607307,3.0589113,create
42,,,50.639023,3.0584428,create
44,,,50.641937,3.056636,create
45,,,50.636654,3.064476,create
47,,,50.63716,3.064176,create
49,,,50.610294,3.130603,create
51,,,50.636227,3.066249,create
52,,,50.62937,3.021381,create
6,,,50.713116,2.9971616,create
8,,,50.652134,3.0810301,create
9,,,50.68055,3.0623186,create
