ref,osm_type,osm_id,lat,lon,action
2,node,956222244,45.7566136,4.8750371,modify
11,node,4455161358,45.7536431,4.8296616,modify
6,node,1789265812,45.7546269,4.8415701,modify
4,node,6423443514,45.7488512,4.8389425,modify
13,node,1998615471,45.7527098,4.8465168,modify
12,node,1215478378,45.7513524,4.84477,modify
14,node,2092840975,45.7546559,4.8470397,modify
7,node,2135297280,45.7509835,4.8319736,modify
1,,,45.749893,4.8387094,create
10,,,45.747204,4.8377843,create
15,,,45.75538,4.8420143,create
3,,,45.74905,4.8473563,create
5,,,45.745506,4.9322815,create
8,,,45.76568,4.854992,create
9,,,45.754536,4.865331,create
