ref,osm_type,osm_id,lat,lon,action
14,node,5729748699,48.9900352,1.7184599,modify
22,node,5729680307,48.9903558,1.7170371,modify
3,node,6025772035,48.9909746,1.7157774,modify
30,node,1418118602,48.9892555,1.7160119,modify
25,node,6833266499,48.9998869,1.6860003,modify
10,node,1234516686,48.9879378,1.7111019,modify
19,node,6343351525,48.9898084,1.7152452,modify
6,node,5202581416,48.9852224,1.717185,modify
29,way,161348049,48.99761,1.7108809,modify
1,,,48.990616,1.7171386,create
11,,,48.989944,1.7125536,create
12,,,48.988037,1.7179945,create
13,,,48.993324,1.7074648,create
15,,,48.99002,1.7168291,create
16,,,48.99098,1.716515,create
17,,,48.995827,1.7517899,create
18,,,48.990067,1.7155921,create
2,,,48.9922,1.6716331,create
20,,,48.989914,1.7117208,create
21,,,48.979935,1.7110097,create
23,,,48.990063,1.7167131,create
24,,,48.987835,1.7179575,create
26,,,48.99064,1.7170314,create
27,,,48.990456,1.7170496,create
28,,,48.99063,1.7171504,create
31,,,48.990276,1.7166162,create
32,,,48.980198,1.6842422,create
33,,,48.990074,1.7154583,create
34,,,48.98984,1.7167227,create
4,,,48.99899,1.6856605,create
5,,,48.990665,1.7154433,create
7,,,48.98528,1.7173798,create
8,,,48.99233,1.7142274,create
9,,,48.97885,1.6996632,create
