ref,osm_type,osm_id,lat,lon,action
3,node,6020161428,43.3028037,5.3978913,modify
4,node,7235320051,43.2834314,5.3846821,modify
8,node,2456030128,43.292653,5.3840999,modify
9,node,6030132703,43.2906383,5.3757958,modify
6,node,1886609583,43.2917345,5.3723107,modify
10,node,3391011714,43.3147247,5.3708862,modify
15,node,4846089448,43.2879584,5.3636106,modify
14,node,6019909639,43.2873497,5.3839948,modify
1,node,3535191515,43.301845,5.3693568,modify
12,node,4073593041,43.3042205,5.3674495,modify
7,way,70067128,43.2881743,5.3643046,modify
11,,,43.279305,5.3916316,create
13,,,43.299583,5.3810453,create
16,,,43.28763,5.3863072,create
17,,,43.287666,5.3931794,create
2,,,43.317284,5.3823814,create
5,,,43.285206,5.3747325,create
