ref,osm_type,osm_id,lat,lon,action
11,node,2377254037,47.2153851,-1.5523484,modify
3,way,74609825,47.2149471,-1.5651599,modify
13,node,6042340126,47.2333502,-1.5661374,modify
7,node,4396149089,47.2172562,-1.5574106,modify
14,node,1226122333,47.2097402,-1.5653394,modify
4,node,2406178636,47.2141824,-1.5457678,modify
2,node,5990552064,47.2156851,-1.5358484,modify
1,,,47.21626,-1.5512857,create
10,,,47.21558,-1.55529,create
12,,,47.189674,-1.5191145,create
15,,,47.2126,-1.5604945,create
5,,,47.211266,-1.5453084,create
6,,,47.21671,-1.5595247,create
8,,,47.230976,-1.5637835,create
9,,,47.205257,-1.5365577,create
