ref,osm_type,osm_id,lat,lon,action
1,node,5902521406,43.7073137,7.2630408,modify
5,node,4930432604,43.6981172,7.287659,modify
8,node,3218730661,43.7006594,7.2752599,modify
12,node,4580887406,43.7023582,7.2664199,modify
17,node,1398473971,43.6997568,7.2825741,modify
16,node,3076885883,43.6987539,7.2778679,modify
10,node,310593188,43.7076023,7.2562076,modify
9,way,139669881,43.7273935,7.2657705,modify
11,,,43.69779,7.265382,create
13,,,43.6987,7.251063,create
14,,,43.707466,7.262517,create
15,,,43.69512,7.2560387,create
2,,,43.699303,7.2721586,create
3,,,43.693493,7.249642,create
4,,,43.709946,7.259517,create
6,,,43.69626,7.2563853,create
7,,,43.70522,7.2654123,create
