ref,osm_type,osm_id,lat,lon,action
21,node,6528619190,45.046017,5.0511443,modify
27,node,6527877930,45.0459771,5.050171,modify
26,node,6516754773,45.0460883,5.0525965,modify
24,node,6527985509,45.0460034,5.0508727,modify
4,way,61077578,45.05482,5.042767,modify
17,node,1865902438,45.045161,5.0465852,modify
28,node,7223489342,45.0456675,5.0471954,modify
22,node,1865954397,45.0500203,5.0799239,modify
10,node,1865956856,45.0497701,5.079889,modify
18,way,772138620,45.0579543,5.0640767,modify
19,node,6558475480,45.0458402,5.0484379,modify
5,relation,8697853,45.0509719,5.0824654,modify
11,node,6796499986,45.0514202,5.0804127,modify
1,,,45.0454,5.0481663,create
12,,,45.055553,5.090684,create
13,,,45.050556,5.0471287,create
14,,,45.04608,5.0520678,create
15,,,45.046528,5.0516415,create
16,,,45.042763,5.0493193,create
2,,,45.045147,5.054146,create
20,,,45.042923,5.0520806,create
23,,,45.045868,5.0488834,create
25,,,45.04524,5.0471816,create
3,,,45.042942,5.0459843,create
6,,,45.045963,5.0610356,create
7,,,45.04435,5.0302544,create
8,,,45.05859,5.101887,create
9,,,45.04983,5.0575786,create
