ref,osm_type,osm_id,lat,lon,action
25,node,1583597723,45.1537535,5.3198898,modify
31,way,118070252,45.1453305,5.3093835,modify
5,node,5159307422,45.1526827,5.3205416,modify
6,way,129740629,45.141127,5.3026055,modify
9,relation,5455155,45.2079895,5.410725,modify
12,way,118067758,45.1542165,5.323319,modify
21,node,5320372553,45.1527271,5.3201303,modify
15,node,5673454488,45.154829,5.3232157,modify
4,node,1772951530,45.1529357,5.3220615,modify
20,node,1773373858,45.1514302,5.3170938,modify
14,node,1328727616,45.153688,5.320776,modify
32,node,5673454486,45.153448,5.3208214,modify
29,node,1774681015,45.1541665,5.322038,modify
24,way,551622812,45.1485539,5.3124753,modify
22,node,5823447161,45.1531466,5.3169788,modify
17,node,1773553529,45.1547635,5.3213815,modify
10,node,5823398722,45.145978,5.3102898,modify
1,,,45.084423,5.338185,create
11,,,45.15295,5.320271,create
13,,,45.153976,5.3212967,create
16,,,45.153637,5.321532,create
18,,,45.15403,5.322369,create
19,,,45.153885,5.321616,create
2,,,45.14919,5.257881,create
23,,,45.154133,5.3200116,create
26,,,45.154263,5.3196716,create
27,,,45.14987,5.3104606,create
28,,,45.1442,5.305501,create
3,,,45.121017,5.3374696,create
30,,,45.1465,5.307703,create
33,,,45.154118,5.3199377,create
34,,,45.125896,5.3658957,create
7,,,45.157124,5.3675995,create
8,,,45.17228,5.360794,create
