ref,osm_type,osm_id,lat,lon,action
57,node,6503457341,44.9287602,4.8896784,modify
60,node,4294689789,44.9285026,4.8919017,modify
39,way,71210428,44.9327149,4.8932333,modify
3,node,7243019501,44.9310741,4.8914359,modify
28,node,3143525214,44.9200651,4.8856863,modify
12,node,6697287319,44.8821873,4.8917149,modify
59,node,6503457342,44.9287313,4.8897897,modify
17,node,5851747194,44.8993627,4.8878821,modify
52,node,5466610213,44.9326447,4.893749,modify
47,way,107359531,44.9348126,4.9066987,modify
8,node,4290564569,44.9316771,4.891205,modify
58,node,5817919818,44.9285381,4.8907547,modify
50,node,6007270455,44.9282762,4.8918843,modify
46,node,4413810032,44.9330923,4.9015203,modify
42,node,2347462724,44.9201479,4.8991003,modify
4,node,4666246920,44.9285598,4.8916578,modify
31,node,6503457339,44.9291877,4.8905166,modify
6,node,2347559890,44.9199964,4.8991541,modify
11,node,5817919816,44.9281578,4.8933222,modify
54,node,3143526514,44.9221005,4.8863675,modify
29,way,225789647,44.9377846,4.8654331,modify
30,way,419299775,44.9160567,4.8859711,modify
56,node,4343680507,44.9156724,4.885254,modify
20,way,99925594,44.9078158,4.8783918,modify
38,node,672113277,44.9285231,4.8934416,modify
13,way,99531152,44.9421994,4.9198777,modify
21,node,3141961424,44.9120036,4.912621,modify
43,node,4197382860,44.9329566,4.8926047,modify
1,,,44.93427,4.9050717,create
10,,,44.96361,4.9444003,create
14,,,44.928677,4.891197,create
15,,,44.933285,4.892648,create
16,,,44.93544,4.8970037,create
18,,,44.92985,4.8979306,create
19,,,44.893627,4.890048,create
2,,,44.929955,4.8908997,create
22,,,44.93098,4.8882885,create
23,,,44.933647,4.897936,create
24,,,44.932774,4.893316,create
25,,,44.96696,4.9484234,create
26,,,44.937935,4.865602,create
27,,,44.929455,4.8906307,create
32,,,44.933247,4.8807964,create
33,,,44.930725,4.9238353,create
34,,,44.933395,4.894732,create
35,,,44.933716,4.891087,create
36,,,44.932014,4.8895564,create
37,,,44.932377,4.894222,create
40,,,44.906498,4.885457,create
41,,,44.950417,4.926188,create
44,,,44.93405,4.8909516,create
45,,,44.933723,4.890467,create
48,,,44.92212,4.890659,create
49,,,44.92982,4.8955874,create
5,,,44.931236,4.895338,create
51,,,44.93412,4.891269,create
53,,,44.932964,4.8963423,create
55,,,44.92818,4.892267,create
61,,,44.93385,4.8908362,create
62,,,44.928463,4.889071,create
63,,,44.934036,4.9053593,create
7,,,44.92784,4.889679,create
9,,,44.920334,4.885746,create
