ref,osm_type,osm_id,lat,lon,action
63,node,1914277166,44.5873918,5.1343798,modify
89,node,5343911373,44.7294888,5.0172793,modify
33,way,106061980,44.7785327,4.8332805,modify
72,node,2410856471,44.711062,5.0897166,modify
68,node,5649666669,44.7295061,5.0175516,modify
57,node,4646785652,44.7306245,5.0192834,modify
52,node,3463188271,44.7723981,4.8434696,modify
40,node,3463077556,44.7702074,4.8413939,modify
55,node,5594572696,44.7295063,5.0172096,modify
73,way,307591449,44.7750446,5.0223105,modify
64,relation,3481214,44.6454756,5.0620798,modify
98,node,2411198549,44.7302386,5.0159935,modify
34,node,2469850438,44.7521774,5.37479,modify
36,node,3221259511,44.7778556,4.8318064,modify
74,node,4646812706,44.7281007,5.0217468,modify
27,way,72549651,44.7353326,5.006725,modify
53,node,3463123783,44.7774636,4.8314106,modify
70,node,4646823396,44.7338474,5.0114841,modify
87,node,4326897148,44.7330877,5.0116347,modify
88,node,2018195808,44.7289236,5.0184385,modify
58,way,508161238,44.7119524,5.0847394,modify
14,node,5343885372,44.7277923,5.0226377,modify
84,node,5449186292,44.7285997,5.0185267,modify
1,,,44.755386,4.867286,create
10,,,44.740868,4.8058414,create
11,,,44.732,5.0103765,create
12,,,44.72904,5.027137,create
13,,,44.727737,5.0217094,create
15,,,44.66513,4.940304,create
16,,,44.76099,5.103692,create
17,,,44.73178,5.0095882,create
18,,,44.772953,4.844386,create
19,,,44.707626,5.0051427,create
2,,,44.790104,4.7798266,create
20,,,44.802055,4.817182,create
21,,,44.738144,5.0045724,create
22,,,44.78134,4.8282123,create
23,,,44.54598,4.9250174,create
24,,,44.72895,5.02896,create
25,,,44.69919,5.097613,create
26,,,44.771706,4.804276,create
28,,,44.733288,5.011293,create
29,,,44.72842,5.024166,create
3,,,44.773113,4.844733,create
30,,,44.708942,5.060067,create
31,,,44.696617,5.1971245,create
32,,,44.771236,4.8359575,create
35,,,44.732376,4.9972043,create
37,,,44.77118,4.8420777,create
38,,,44.73076,5.0065475,create
39,,,44.73337,5.011628,create
4,,,44.774456,4.8463316,create
41,,,44.777287,4.831021,create
42,,,44.716576,5.003735,create
43,,,44.777447,5.143388,create
44,,,44.6468,5.042732,create
45,,,44.771774,4.8425207,create
46,,,44.77153,4.842168,create
47,,,44.809868,4.8804026,create
48,,,44.777763,4.8316092,create
49,,,44.769123,4.8412743,create
5,,,44.77705,4.847329,create
50,,,44.771774,4.8414297,create
51,,,44.771767,4.842415,create
54,,,44.764442,4.90321,create
56,,,44.72825,5.0224223,create
59,,,44.696552,5.1965795,create
6,,,44.729046,5.026723,create
60,,,44.696217,5.197088,create
61,,,44.77882,4.8304973,create
62,,,44.696857,5.19827,create
65,,,44.709503,5.060279,create
66,,,44.718662,5.011029,create
67,,,44.72949,5.017555,create
69,,,44.72852,5.023442,create
7,,,44.81666,5.039423,create
71,,,44.72796,5.01983,create
75,,,44.718014,4.9983974,create
76,,,44.696697,5.1979537,create
77,,,44.74684,4.9885416,create
78,,,44.696583,5.197862,create
79,,,44.696533,5.19714,create
8,,,44.671623,5.138935,create
80,,,44.724617,5.0266676,create
81,,,44.73693,4.9752517,create
82,,,44.69696,5.1988974,create
83,,,44.732098,5.004738,create
85,,,44.731045,5.0168896,create
86,,,44.728615,5.0186725,create
9,,,44.72507,5.0216017,create
90,,,44.728912,5.018896,create
91,,,44.734367,5.010783,create
92,,,44.727726,5.0214357,create
93,,,44.729,5.0207043,create
94,,,44.730354,5.0175266,create
95,,,44.729916,5.0188894,create
96,,,44.733303,5.0113583,create
97,,,44.72498,5.0212526,create
99,,,44.72846,5.023528,create
